|[(21, 20)]| [] |[(2, 1)]| |[(31, 27)]| [] |[(13, 11)]| [] [] [] [] [] |[(12, 0)]| |[(26, 23)]| |[(10, 4)]| [] [] [] [] [] [] |[(28, 9)]| [] [] |[(29, 5)]| |[(17, 8)]| [] [] [] |[(30, 3)]| |[(24, 6)]| []
[] |[(14, 12)]| |[(10, 9)]| |[(5, 1)]| |[(31, 26)]| [] [] [] |[(25, 16)]| [] |[(8, 3)]| |[(27, 23)]| [] [] |[(30, 17)]| [] [] [] [] |[(18, 6)]| [] |[(22, 0)]| |[(24, 15)]| |[(28, 4)]| [] [] [] [] [] [] |[(29, 2)]|
|[(27, 26)]| [] [] [] [] [] |[(5, 2)]| |[(31, 23)]| |[(15, 6)]| |[(24, 18)]| [] [] |[(9, 4)]| |[(14, 0)]| [] [] [] |[(17, 3)]| [] [] [] |[(30, 8)]| |[(16, 7)]| [] |[(20, 13)]| |[(22, 12)]| [] |[(29, 1)]| [] |[(21, 11)]| []
[] [] [] [] [] [] |[(6, 1)]| [] [] [] [] |[(25, 21)]| |[(27, 22)]| [] [] [] |[(31, 14)]| |[(29, 15)]| |[(20, 7)]| |[(28, 8)]| [] |[(26, 12)]| |[(23, 0)]| |[(17, 9)]| [] |[(24, 2)]| [] [] |[(16, 13)]| [] []
|[(9, 8)]| [] [] |[(6, 2)]| [] [] [] [] |[(10, 3)]| |[(15, 5)]| [] [] |[(28, 17)]| [] |[(29, 18)]| [] [] |[(21, 7)]| [] [] |[(27, 14)]| [] [] [] |[(24, 1)]| |[(26, 0)]| |[(16, 11)]| [] [] |[(19, 13)]| []
[] [] |[(31, 28)]| [] [] |[(14, 8)]| |[(22, 17)]| |[(24, 16)]| [] |[(11, 1)]| [] [] [] [] |[(13, 2)]| [] |[(20, 5)]| |[(27, 9)]| [] [] |[(19, 6)]| |[(25, 15)]| [] [] [] [] [] [] |[(23, 10)]| |[(30, 0)]| []
[] [] |[(3, 0)]| [] [] [] |[(28, 27)]| |[(15, 7)]| |[(11, 2)]| [] |[(25, 18)]| |[(13, 1)]| [] [] [] |[(21, 5)]| [] |[(30, 12)]| |[(23, 4)]| [] [] |[(16, 6)]| [] [] [] [] [] [] [] |[(22, 8)]| |[(17, 14)]|
[] |[(15, 13)]| [] [] |[(30, 27)]| |[(7, 1)]| [] [] |[(9, 0)]| |[(14, 4)]| [] [] |[(29, 16)]| [] [] |[(28, 12)]| [] |[(20, 6)]| [] [] [] |[(19, 5)]| [] [] |[(18, 11)]| [] |[(25, 2)]| |[(31, 3)]| [] [] []
|[(31, 30)]| [] [] |[(14, 10)]| |[(7, 2)]| [] [] [] [] [] |[(26, 17)]| |[(24, 20)]| [] |[(29, 19)]| [] [] [] |[(22, 4)]| |[(21, 6)]| [] |[(16, 5)]| [] [] |[(25, 1)]| [] [] [] |[(28, 0)]| [] [] |[(23, 8)]|
|[(1, 0)]| |[(26, 24)]| [] [] |[(20, 17)]| [] [] [] |[(27, 18)]| [] [] [] [] |[(12, 2)]| [] |[(31, 15)]| |[(23, 6)]| [] |[(22, 5)]| |[(16, 4)]| |[(30, 11)]| [] [] [] |[(19, 10)]| [] [] [] |[(21, 8)]| [] []
[] |[(2, 0)]| [] |[(21, 17)]| [] [] [] |[(11, 3)]| [] [] |[(14, 5)]| [] |[(12, 1)]| [] |[(24, 23)]| |[(25, 9)]| [] [] |[(30, 13)]| |[(27, 15)]| [] [] |[(19, 4)]| [] [] |[(16, 10)]| |[(28, 7)]| |[(26, 6)]| [] [] []
[] |[(11, 9)]| |[(15, 12)]| [] [] [] |[(29, 26)]| [] [] [] [] [] [] [] [] |[(22, 6)]| |[(21, 4)]| |[(18, 0)]| [] [] [] |[(24, 14)]| [] |[(16, 8)]| |[(30, 7)]| |[(27, 1)]| [] [] |[(31, 2)]| |[(20, 10)]| []
|[(17, 16)]| [] [] |[(7, 3)]| [] [] |[(30, 25)]| |[(14, 6)]| [] |[(29, 23)]| [] [] [] |[(24, 22)]| |[(15, 0)]| |[(20, 4)]| [] [] [] [] [] [] |[(28, 11)]| [] |[(27, 2)]| [] |[(19, 8)]| [] [] |[(31, 1)]| |[(26, 5)]|
[] [] [] [] |[(5, 0)]| [] |[(31, 24)]| [] [] |[(30, 20)]| [] |[(14, 2)]| |[(10, 7)]| [] [] [] |[(29, 12)]| [] [] [] |[(26, 15)]| |[(21, 3)]| |[(22, 1)]| [] [] |[(19, 9)]| [] [] |[(25, 4)]| [] []
[] [] |[(7, 4)]| [] [] [] [] |[(26, 18)]| |[(12, 5)]| [] |[(30, 21)]| [] [] [] |[(14, 1)]| [] [] [] |[(25, 10)]| |[(22, 2)]| [] [] |[(20, 3)]| |[(23, 15)]| |[(31, 6)]| [] [] |[(17, 13)]| |[(29, 0)]| [] []
|[(11, 10)]| |[(31, 29)]| [] |[(22, 18)]| [] |[(6, 0)]| [] [] |[(13, 4)]| [] [] [] |[(30, 19)]| [] [] [] |[(25, 8)]| [] |[(16, 3)]| |[(24, 12)]| [] |[(23, 1)]| [] |[(26, 2)]| [] [] [] [] |[(20, 9)]| |[(27, 5)]| []
[] [] [] [] [] |[(29, 27)]| |[(13, 10)]| |[(25, 17)]| [] |[(12, 6)]| [] [] [] |[(30, 16)]| |[(11, 4)]| |[(19, 3)]| [] [] [] [] |[(23, 2)]| [] [] |[(24, 0)]| |[(22, 15)]| |[(31, 5)]| |[(26, 1)]| |[(21, 9)]| [] [] []
|[(7, 6)]| [] [] |[(12, 8)]| [] |[(28, 26)]| [] |[(30, 22)]| [] [] [] [] |[(14, 3)]| |[(11, 5)]| [] |[(29, 13)]| |[(17, 0)]| [] [] [] |[(20, 1)]| [] |[(21, 2)]| [] [] [] |[(31, 4)]| [] [] |[(23, 9)]| |[(16, 15)]|
[] |[(18, 16)]| [] [] [] [] [] |[(8, 0)]| [] [] |[(28, 23)]| [] [] [] [] |[(30, 14)]| [] [] |[(26, 9)]| |[(21, 1)]| |[(22, 3)]| |[(20, 2)]| [] [] [] [] [] |[(19, 15)]| |[(17, 12)]| [] |[(27, 4)]|
[] |[(7, 5)]| [] |[(29, 25)]| [] |[(20, 18)]| [] |[(12, 4)]| |[(30, 23)]| |[(10, 0)]| [] [] |[(11, 6)]| [] [] [] [] |[(19, 1)]| [] [] |[(24, 13)]| [] |[(31, 8)]| [] |[(26, 3)]| |[(21, 15)]| [] [] [] [] |[(22, 9)]|
[] [] [] |[(4, 0)]| [] |[(12, 10)]| |[(14, 9)]| [] [] |[(28, 22)]| |[(13, 6)]| [] [] |[(31, 17)]| [] [] |[(16, 1)]| [] |[(27, 8)]| |[(23, 3)]| [] [] [] [] [] |[(29, 7)]| |[(20, 15)]| |[(25, 5)]| [] [] []
